tdmb_id, idmb_id, title, budget, revenue, run_time
2, tt0094675, Ariel, 0, 0, NaN
3, tt0092149, Shadows in Paradise, 0, 73, NaN
NaN, NaN, NaN, NaN, 0, NaN
5, tt0113101, Four Rooms, 4000000, 74, NaN
6, tt0107286, Judgment Night, 21000000, NaN, NaN
NaN, NaN, NaN, NaN, 4257354, NaN
8, tt0825671, Life in Loops (A Megacities RMX), 42000, 98, NaN
9, tt0425473, Sunday in August, 0, 12136938, NaN
NaN, NaN, NaN, NaN, 110, NaN
11, tt0076759, Star Wars, 11000000, NaN, NaN
12, tt0266543, Finding Nemo, 94000000, 0, NaN
13, tt0109830, Forrest Gump, 55000000, 80, NaN
14, tt0169547, American Beauty, 15000000, 0, NaN
15, tt0033467, Citizen Kane, 839727, 15, NaN
16, tt0168629, Dancer in the Dark, 12800000, NaN, NaN
17, tt0411267, The Dark, 0, 775398007, NaN
18, tt0119116, The Fifth Element, 90000000, 121, NaN
19, tt0017136, Metropolis, 1300000, 940335536, NaN
20, tt0314412, My Life Without Me, 0, 100, NaN
21, tt0060371, The Endless Summer, 0, 677387716, NaN
22, tt0325980, Pirates of the Caribbean: The Curse of the Black Pearl, 140000000, 142, NaN
NaN, NaN, NaN, NaN, 356296601, NaN
24, tt0266697, Kill Bill: Vol. 1, 30000000, 122, NaN
25, tt0418763, Jarhead, 72000000, 23218000, NaN
26, tt0352994, Walk on Water, 1400000, 119, NaN
27, tt0411705, 9 Songs, 1000000, 40031879, NaN
28, tt0078788, Apocalypse Now, 31500000, 141, NaN
NaN, NaN, NaN, NaN, 0, NaN
NaN, NaN, NaN, NaN, 87, NaN
NaN, NaN, NaN, NaN, 263920180, NaN
NaN, NaN, NaN, NaN, 126, NaN
33, tt0105695, Unforgiven, 14400000, 650422, NaN
NaN, NaN, NaN, NaN, 149, NaN
35, tt0462538, The Simpsons Movie, 75000000, 9726954, NaN
NaN, NaN, NaN, NaN, 106, NaN
NaN, NaN, NaN, NaN, 0, NaN
38, tt0338013, Eternal Sunshine of the Spotless Mind, 20000000, 91, NaN
NaN, NaN, NaN, NaN, 655011224, NaN
NaN, NaN, NaN, NaN, 143, NaN
NaN, NaN, NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN, 180899265, NaN
NaN, NaN, NaN, NaN, 111, NaN
NaN, NaN, NaN, NaN, 97076152, NaN
NaN, NaN, NaN, NaN, 123, NaN
NaN, NaN, NaN, NaN, 444, NaN
NaN, NaN, NaN, NaN, 103, NaN
NaN, NaN, NaN, NaN, 1574623, NaN
NaN, NaN, NaN, NaN, 70, NaN
NaN, NaN, NaN, NaN, 150000000, NaN
NaN, NaN, NaN, NaN, 147, NaN
NaN, NaN, NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN, NaN, NaN
NaN, NaN, NaN, NaN, NaN, NaN
55, tt0245712, Amores Perros, 2000000, NaN, NaN
NaN, NaN, NaN, NaN, 159157447, NaN
NaN, NaN, NaN, NaN, 130, NaN
58, tt0383574, Pirates of the Caribbean: Dead Man's Chest, 200000000, NaN, NaN
59, tt0399146, A History of Violence, 32000000, 527068851, NaN
NaN, NaN, NaN, NaN, 87, NaN
NaN, NaN, NaN, NaN, NaN, NaN
62, tt0062622, 2001: A Space Odyssey, 12000000, NaN, NaN
63, tt0114746, Twelve Monkeys, 29000000, 72258126, NaN
64, tt0287467, Talk to Her, 0, 108, NaN
65, tt0298203, 8 Mile, 41000000, NaN, NaN
66, tt0118548, Absolute Power, 50000000, NaN, NaN
67, tt0445620, Paradise Now, 2000000, NaN, NaN
68, tt0088846, Brazil, 15000000, NaN, NaN
69, tt0358273, Walk the Line, 28000000, NaN, NaN
70, tt0405159, Million Dollar Baby, 30000000, NaN, NaN
71, tt0249462, Billy Elliot, 5000000, NaN, NaN
NaN, NaN, NaN, NaN, NaN, NaN
73, tt0120586, American History X, 20000000, NaN, NaN
74, tt0407304, War of the Worlds, 132000000, NaN, NaN
75, tt0116996, Mars Attacks!, 70000000, NaN, NaN
76, tt0112471, Before Sunrise, 2500000, NaN, NaN
77, tt0209144, Memento, 9000000, NaN, NaN
78, tt0083658, Blade Runner, 28000000, NaN, NaN
79, tt0299977, Hero, 31000000, NaN, NaN
80, tt0381681, Before Sunset, 2700000, NaN, NaN
81, tt0087544, Nausicaä of the Valley of the Wind, 1000000, 20908467, NaN
82, tt0430357, Miami Vice, 135000000, 154, NaN
83, tt0374102, Open Water, 130000, NaN, NaN
NaN, NaN, NaN, NaN, NaN, NaN
85, tt0082971, Raiders of the Lost Ark, 18000000, 1065659812, NaN
86, tt0430051, The Elementary Particles, 6000000, 151, NaN
87, tt0087469, Indiana Jones and the Temple of Doom, 28000000, 60740827, NaN
88, tt0092890, Dirty Dancing, 6000000, 96, NaN
89, tt0097576, Indiana Jones and the Last Crusade, 48000000, NaN, NaN
90, tt0086960, Beverly Hills Cop, 14000000, NaN, NaN
91, tt0023037, Land Without Bread, 0, 71923560, NaN
92, tt0169024, Megacities, 0, 149, NaN
